Age,Gender,Education Level,Job Title,Years of Experience,Salary
31,Male,Bachelor's,Product Manager,8.0,190000
30,Male,Master's,Software Engineer,6.0,170000
32,Female,Bachelor's,Data Scientist,9.0,185000
29,Male,Bachelor's,Data Analyst,7.0,130000
35,Female,Bachelor's,Product Manager,12.0,190000
27,Male,Bachelor's,Software Engineer,5.0,150000
28,Female,Master's,Data Scientist,6.0,150000
37,Male,PhD,Product Manager,14.0,195000
26,Male,Bachelor's,Data Analyst,3.0,110000
30,Female,Bachelor's,Software Engineer,8.0,180000
31,Male,Master's,Data Scientist,9.0,185000
29,Female,Bachelor's,Data Analyst,7.0,130000
32,Male,Bachelor's,Software Engineer,10.0,190000
28,Female,Master's,Data Scientist,6.0,155000
34,Male,Bachelor's,Software Engineer,12.0,195000
25,Female,Bachelor's,Data Analyst,2.0,90000
30,Male,Bachelor's,Product Manager,8.0,185000
29,Female,Bachelor's,Data Analyst,6.0,120000
31,Male,Bachelor's,Software Engineer,9.0,180000
26,Female,Bachelor's,Data Analyst,3.0,100000
33,Male,Master's,Data Scientist,10.0,195000
28,Male,Bachelor's,Software Engineer,4.0,160000
27,Female,Bachelor's,Data Analyst,5.0,125000
30,Male,Master's,Software Engineer,6.0,170000
32,Female,Bachelor's,Data Scientist,9.0,185000
29,Male,Bachelor's,Data Analyst,7.0,130000
35,Female,Bachelor's,Product Manager,12.0,190000
27,Male,Bachelor's,Software Engineer,5.0,150000
28,Female,Master's,Data Scientist,6.0,150000
37,Male,PhD,Product Manager,14.0,195000
26,Male,Bachelor's,Data Analyst,3.0,110000
30,Female,Bachelor's,Software Engineer,8.0,180000
31,Male,Master's,Data Scientist,9.0,185000
29,Female,Bachelor's,Data Analyst,7.0,130000
32,Male,Bachelor's,Software Engineer,10.0,190000
28,Female,Master's,Data Scientist,6.0,155000
34,Male,Bachelor's,Software Engineer,12.0,195000
25,Female,Bachelor's,Data Analyst,2.0,90000
30,Male,Bachelor's,Product Manager,8.0,185000
29,Female,Bachelor's,Data Analyst,6.0,120000
31,Male,Bachelor's,Software Engineer,9.0,180000
26,Female,Bachelor's,Data Analyst,3.0,100000
33,Male,Master's,Data Scientist,10.0,195000
28,Male,Bachelor's,Software Engineer,4.0,160000
27,Female,Bachelor's,Data Analyst,5.0,125000
30,Male,Master's,Software Engineer,6.0,170000
32,Female,Bachelor's,Data Scientist,9.0,185000
29,Male,Bachelor's,Data Analyst,7.0,130000
35,Female,Bachelor's,Product Manager,12.0,190000
27,Male,Bachelor's,Software Engineer,5.0,150000
28,Female,Master's,Data Scientist,6.0,150000
37,Male,PhD,Product Manager,14.0,195000
26,Male,Bachelor's,Data Analyst,3.0,110000
30,Female,Bachelor's,Software Engineer,8.0,180000
31,Male,Master's,Data Scientist,9.0,185000
29,Female,Bachelor's,Data Analyst,7.0,130000
32,Male,Bachelor's,Software Engineer,10.0,190000
28,Female,Master's,Data Scientist,6.0,155000
34,Male,Bachelor's,Software Engineer,12.0,195000
25,Female,Bachelor's,Data Analyst,2.0,90000
30,Male,Bachelor's,Product Manager,8.0,185000
29,Female,Bachelor's,Data Analyst,6.0,120000
31,Male,Bachelor's,Software Engineer,9.0,180000
26,Female,Bachelor's,Data Analyst,3.0,100000
33,Male,Master's,Data Scientist,10.0,195000
28,Male,Bachelor's,Software Engineer,4.0,160000
27,Female,Bachelor's,Data Analyst,5.0,125000
30,Male,Master's,Software Engineer,6.0,170000
32,Female,Bachelor's,Data Scientist,9.0,185000
29,Male,Bachelor's,Data Analyst,7.0,130000
35,Female,Bachelor's,Product Manager,12.0,190000
27,Male,Bachelor's,Software Engineer,5.0,150000
28,Female,Master's,Data Scientist,6.0,150000
37,Male,PhD,Product Manager,14.0,195000
26,Male,Bachelor's,Data Analyst,3.0,110000
30,Female,Bachelor's,Software Engineer,8.0,180000
31,Male,Master's,Data Scientist,9.0,185000
29,Female,Bachelor's,Data Analyst,7.0,130000
32,Male,Bachelor's,Software Engineer,10.0,190000
28,Female,Master's,Data Scientist,6.0,155000
34,Male,Bachelor's,Software Engineer,12.0,195000
25,Female,Bachelor's,Data Analyst,2.0,90000
30,Male,Bachelor's,Product Manager,8.0,185000
29,Female,Bachelor's,Data Analyst,6.0,120000
31,Male,Bachelor's,Software Engineer,9.0,180000
26,Female,Bachelor's,Data Analyst,3.0,100000
33,Male,Master's,Data Scientist,10.0,195000
28,Male,Bachelor's,Software Engineer,4.0,160000
27,Female,Bachelor's,Data Analyst,5.0,125000
30,Male,Master's,Software Engineer,6.0,170000
32,Female,Bachelor's,Data Scientist,9.0,185000
29,Male,Bachelor's,Data Analyst,7.0,130000
35,Female,Bachelor's,Product Manager,12.0,190000
27,Male,Bachelor's,Software Engineer,5.0,150000
28,Female,Master's,Data Scientist,6.0,150000
37,Male,PhD,Product Manager,14.0,195000
26,Male,Bachelor's,Data Analyst,3.0,110000
30,Female,Bachelor's,Software Engineer,8.0,180000
31,Male,Master's,Data Scientist,9.0,185000
29,Female,Bachelor's,Data Analyst,7.0,130000
32,Male,Bachelor's,Software Engineer,10.0,190000
28,Female,Master's,Data Scientist,6.0,155000
34,Male,Bachelor's,Software Engineer,12.0,195000
25,Female,Bachelor's,Data Analyst,2.0,90000
30,Male,Bachelor's,Product Manager,8.0,185000
28,Male,Bachelor's Degree,Senior Software Engineer,7.0,175000
44,Male,PhD,Software Engineer Manager,18.0,190000
33,Female,Master's Degree,Back end Developer,5.0,110000
50,Male,PhD,Senior Project Engineer,16.0,195000
27,Female,Master's Degree,Full Stack Engineer,3.0,100000
25,Male,Bachelor's Degree,Front end Developer,1.0,60000
35,Male,Master's Degree,Senior Software Engineer,8.0,155000
47,Female,PhD,Full Stack Engineer,12.0,175000
46,Female,Master's Degree,Senior Project Engineer,13.0,180000
32,Male,Bachelor's Degree,Back end Developer,4.0,95000
53,Male,PhD,Software Engineer Manager,20.0,200000
41,Male,Master's Degree,Senior Software Engineer,11.0,165000
37,Male,Master's Degree,Senior Project Engineer,9.0,145000
53,Male,PhD,Software Engineer Manager,19.0,195000
30,Female,Bachelor's Degree,Front end Developer,2.0,75000
26,Female,Master's Degree,Back end Developer,3.0,90000
37,Female,Master's Degree,Senior Software Engineer,9.0,155000
32,Male,Bachelor's Degree,Full Stack Engineer,5.0,115000
44,Female,Master's Degree,Senior Software Engineer,12.0,170000
50,Female,PhD,Software Engineer Manager,16.0,190000
27,Male,Bachelor's Degree,Senior Project Engineer,4.0,115000
42,Male,PhD,Full Stack Engineer,14.0,180000
53,Male,PhD,Software Engineer Manager,18.0,195000
35,Male,Master's Degree,Senior Software Engineer,7.0,140000
53,Male,PhD,Software Engineer Manager,19.0,200000
26,Female,Master's Degree,Back end Developer,2.0,70000
42,Female,Master's Degree,Senior Project Engineer,11.0,170000
41,Female,PhD,Software Engineer Manager,14.0,185000
36,Female,Master's Degree,Full Stack Engineer,8.0,140000
49,Male,PhD,Software Engineer Manager,15.0,185000
49,Male,PhD,Senior Project Engineer,15.0,185000
47,Male,PhD,Software Engineer Manager,15.0,180000
47,Male,PhD,Senior Software Engineer,14.0,175000
26,Male,Bachelor's Degree,Front end Developer,2.0,70000
24,Female,Bachelor's Degree,Back end Developer,1.0,60000
53,Male,PhD,Software Engineer Manager,20.0,200000
42,Male,PhD,Senior Software Engineer,14.0,170000
41,Female,Master's Degree,Senior Project Engineer,11.0,165000
23,Male,Bachelor's Degree,Full Stack Engineer,1.0,55000
53,Male,PhD,Software Engineer Manager,17.0,190000
26,Female,Master's Degree,Back end Developer,3.0,90000
33,Female,Bachelor's Degree,Front end Developer,5.0,105000
31,Male,Master's Degree,Full Stack Engineer,6.0,130000
50,Female,PhD,Software Engineer Manager,16.0,185000
24,Female,Master's Degree,Back end Developer,1.0,60000
53,Male,PhD,Software Engineer Manager,17.0,195000
24,Male,Bachelor's Degree,Front end Developer,1.0,60000
37,Male,Master's Degree,Senior Software Engineer,8.0,150000
43,Female,PhD,Senior Project Engineer,13.0,180000
44,Female,Master's Degree,Senior Software Engineer,12.0,170000
34,Male,Master's Degree,Back end Developer,6.0,125000
45,Male,PhD,Software Engineer Manager,15.0,185000
29,Male,Bachelor's Degree,Full Stack Engineer,3.0,90000
29,Male,Bachelor's Degree,Front end Developer,3.0,80000
29,Female,Bachelor's Degree,Back end Developer,3.0,85000
48,Male,PhD,Senior Project Engineer,16.0,190000
43,Female,Master's Degree,Software Engineer Manager,11.0,160000
53,Male,PhD,Software Engineer Manager,19.0,200000
53,Male,PhD,Software Engineer Manager,17.0,195000
53,Male,PhD,Software Engineer Manager,18.0,195000
53,Female,PhD,Software Engineer Manager,14.0,190000
27,Female,Master's Degree,Full Stack Engineer,3.0,95000
23,Male,Bachelor's Degree,Back end Developer,1.0,55000
45,Male,PhD,Senior Software Engineer,13.0,185000
32,Female,Master's Degree,Full Stack Engineer,5.0,120000
53,Male,PhD,Software Engineer Manager,16.0,195000
47,Male,PhD,Software Engineer Manager,14.0,175000
25,Female,Master's Degree,Back end Developer,2.0,75000
53,Male,PhD,Software Engineer Manager,17.0,200000
41,Female,Master's Degree,Senior Software Engineer,12.0,160000
41,Male,PhD,Software Engineer Manager,12.0,175000
26,Male,Bachelor's Degree,Front end Developer,2.0,70000
47,Male,PhD,Senior Software Engineer,15.0,180000
24,Female,Bachelor's Degree,Back end Developer,1.0,60000
48,Male,PhD,Senior Project Engineer,16.0,190000
32,Male,Bachelor's Degree,Full Stack Engineer,5.0,120000
53,Male,PhD,Software Engineer Manager,20.0,200000
45,Male,PhD,Senior Project Engineer,14.0,185000
50,Female,PhD,Software Engineer Manager,16.0,190000
53,Male,PhD,Software Engineer Manager,18.0,195000
47,Female,PhD,Senior Software Engineer,14.0,170000
23,Male,Bachelor's Degree,Front end Developer,1.0,55000
33,Male,Master's Degree,Back end Developer,6.0,130000
42,Male,PhD,Software Engineer Manager,14.0,180000
45,Male,PhD,Senior Project Engineer,14.0,185000
23,Male,Bachelor's Degree,Front end Developer,1.0,55000
37,Male,Master's Degree,Senior Software Engineer,9.0,145000
44,Female,Master's Degree,Senior Project Engineer,12.0,170000
53,Male,PhD,Software Engineer Manager,17.0,195000
38,Female,Master's Degree,Back end Developer,10.0,155000
34,Male,Master's Degree,Full Stack Engineer,6.0,125000
46,Female,PhD,Software Engineer Manager,14.0,180000
30,Male,Bachelor's Degree,Back end Developer,4.0,95000
44,Female,Master's Degree,Senior Software Engineer,11.0,170000
27,Female,Master's Degree,Full Stack Engineer,3.0,100000
42,Male,PhD,Senior Project Engineer,14.0,175000
27,Male,Bachelor's Degree,Front end Developer,3.0,80000
53,Male,PhD,Software Engineer Manager,18.0,195000
38,Male,Master's Degree,Senior Software Engineer,10.0,155000
31,Male,Master's Degree,Senior Project Engineer,6.0,125000
28,Female,Master's Degree,Full Stack Engineer,4.0,110000
30,Female,Master's Degree,Back end Developer,6.0,130000
53,Male,PhD,Software Engineer Manager,16.0,190000
53,Male,PhD,Software Engineer Manager,20.0,200000
53,Male,PhD,Software Engineer Manager,19.0,200000
37,Male,Master's Degree,Senior Software Engineer,9.0,150000
31,Male,Master's Degree,Senior Software Engineer,7.0,140000
53,Female,PhD,Software Engineer Manager,17.0,195000
53,Male,PhD,Software Engineer Manager,17.0,195000
23,Female,Bachelor's Degree,Back end Developer,1.0,55000
49,Male,PhD,Software Engineer Manager,15.0,185000
32,Female,Master's Degree,Full Stack Engineer,5.0,120000
52,Female,PhD,Software Engineer Manager,16.0,190000
32,Female,Master's Degree,Full Stack Engineer,6.0,130000
50,Female,PhD,Software Engineer Manager,16.0,190000
32,Male,Master's Degree,Back end Developer,6.0,130000
34,Male,Master's Degree,Full Stack Engineer,7.0,140000
28,Male,Bachelor's Degree,Front end Developer,2.0,70000
44,Male,Master's Degree,Senior Project Engineer,11.0,170000
53,Male,PhD,Software Engineer Manager,17.0,190000
27,Male,Bachelor's Degree,Front end Developer,3.0,80000
46,Male,PhD,Software Engineer Manager,14.0,180000
27,Female,Master's Degree,Back end Developer,2.0,70000
45,Male,PhD,Senior Project Engineer,14.0,185000
23,Female,Bachelor's Degree,Front end Developer,1.0,55000
36,Female,Master's Degree,Full Stack Engineer,8.0,140000
47,Female,PhD,Senior Software Engineer,14.0,170000
33,Male,Master's Degree,Back end Developer,6.0,130000
43,Male,PhD,Software Engineer Manager,13.0,180000
30,Male,Bachelor's Degree,Back end Developer,4.0,95000
28,Female,Bachelor's Degree,Front end Developer,2.0,70000
43,Male,Master's Degree,Senior Project Engineer,12.0,165000
43,Male,PhD,Senior Project Engineer,13.0,185000
36,Male,Master's Degree,Senior Software Engineer,7.0,140000
24,Male,Bachelor's Degree,Front end Developer,1.0,60000
28,Female,Bachelor's Degree,Front end Developer,3.0,80000
37,Male,Master's Degree,Senior Software Engineer,9.0,150000
41,Female,PhD,Software Engineer Manager,14.0,185000
26,Male,Bachelor's Degree,Front end Developer,2.0,70000
28,Female,Master's Degree,Back end Developer,3.0,90000
43,Male,PhD,Senior Software Engineer,12.0,170000
42,Male,PhD,Senior Software Engineer,14.0,170000
48,Male,PhD,Senior Project Engineer,16.0,190000
27,Female,Master's Degree,Back end Developer,2.0,70000
49,Male,PhD,Software Engineer Manager,15.0,185000
44,Male,PhD,Senior Project Engineer,12.0,170000
27,Female,Master's Degree,Full Stack Engineer,3.0,100000
37,Male,Master's Degree,Senior Software Engineer,10.0,155000
44,Female,Master's Degree,Senior Project Engineer,12.0,170000
53,Male,PhD,Software Engineer Manager,18.0,195000
49,Male,PhD,Software Engineer Manager,15.0,185000
27,Male,Bachelor's Degree,Front end Developer,2.0,70000
48,Male,PhD,Senior Project Engineer,16.0,190000
31,Male,Master's Degree,Full Stack Engineer,7.0,140000
25,Male,Bachelor's Degree,Front end Developer,1.0,60000
50,Male,PhD,Software Engineer Manager,16.0,190000
46,Male,PhD,Software Engineer Manager,14.0,180000
33,Male,Master's Degree,Full Stack Engineer,6.0,130000
42,Male,PhD,Senior Software Engineer,14.0,170000
41,Male,PhD,Senior Project Engineer,12.0,165000
43,Male,PhD,Senior Project Engineer,13.0,185000
32,Male,Master's Degree,Back end Developer,6.0,130000
24,Male,Bachelor's Degree,Front end Developer,1.0,60000
44,Female,Master's Degree,Senior Software Engineer,11.0,170000
36,Male,Master's Degree,Senior Software Engineer,7.0,140000
28,Female,Master's Degree,Full Stack Engineer,4.0,110000
28,Male,Bachelor's Degree,Front end Developer,2.0,70000
37,Male,Master's Degree,Senior Software Engineer,9.0,145000
53,Male,PhD,Software Engineer Manager,16.0,190000
53,Male,PhD,Software Engineer Manager,17.0,200000
27,Male,Bachelor's Degree,Front end Developer,3.0,80000
30,Male,Bachelor's Degree,Back end Developer,4.0,95000
27,Female,Master's Degree,Full Stack Engineer,3.0,100000
53,Male,PhD,Software Engineer Manager,17.0,195000
49,Male,PhD,Software Engineer Manager,15.0,185000
38,Male,Master's Degree,Senior Software Engineer,10.0,155000
53,Male,PhD,Software Engineer Manager,18.0,195000
31,Male,Master's Degree,Senior Project Engineer,6.0,125000
53,Male,PhD,Software Engineer Manager,17.0,195000
31,Male,Master's Degree,Senior Software Engineer,7.0,140000
42,Male,PhD,Senior Software Engineer,14.0,170000
44,Male,Master's Degree,Senior Project Engineer,11.0,170000
37,Male,Master's Degree,Senior Software Engineer,9.0,150000
24,Female,Bachelor's Degree,Back end Developer,1.0,60000
27,Male,Bachelor's Degree,Front end Developer,2.0,70000
42,Male,PhD,Senior Software Engineer,14.0,170000
24,Female,Bachelor's Degree,Front end Developer,1.0,55000
28,Female,Bachelor's Degree,Front end Developer,3.0,80000
43,Male,PhD,Senior Project Engineer,13.0,185000
31,Male,Master's Degree,Full Stack Engineer,7.0,140000
43,Male,PhD,Software Engineer Manager,13.0,180000
27,Female,Master's Degree,Back end Developer,2.0,70000
49,Male,PhD,Software Engineer Manager,15.0,185000
48,Male,PhD,Senior Project Engineer,16.0,190000
30,Female,Master's Degree,Back end Developer,6.0,130000
28,Female,Master's Degree,Full Stack Engineer,4.0,110000
46,Male,PhD,Software Engineer Manager,14.0,180000
37,Male,Master's Degree,Senior Software Engineer,9.0,145000
42,Male,PhD,Senior Software Engineer,14.0,170000
43,Male,PhD,Senior Project Engineer,12.0,165000
31,Male,Master's Degree,Senior Software Engineer,7.0,140000
53,Male,PhD,Software Engineer Manager,17.0,195000
37,Male,Master's Degree,Senior Software Engineer,10.0,155000
53,Male,PhD,Software Engineer Manager,16.0,190000
53,Male,PhD,Software Engineer Manager,17.0,195000
33,Male,Master's Degree,Back end Developer,6.0,130000
29,Female,Bachelor's Degree,Front end Developer,3.0,85000
52,Male,PhD,Software Engineer Manager,18.0,200000
36,Male,Master's Degree,Full Stack Engineer,8.0,140000
26,Male,Bachelor's Degree,Back end Developer,2.0,65000
47,Male,PhD,Senior Project Engineer,16.0,190000
32,Male,Master's Degree,Full Stack Engineer,6.0,120000
29,Male,Bachelor's Degree,Front end Developer,3.0,80000
28,Female,Master's Degree,Back end Developer,3.0,90000
53,Male,PhD,Software Engineer Manager,16.0,190000
53,Male,PhD,Software Engineer Manager,18.0,200000
51,Male,PhD,Software Engineer Manager,16.0,190000
28,Female,Master's Degree,Full Stack Engineer,4.0,110000
46,Male,PhD,Software Engineer Manager,14.0,180000
27,Female,Master's Degree,Back end Developer,2.0,65000
45,Male,PhD,Senior Project Engineer,14.0,185000
23,Female,Bachelor's Degree,Front end Developer,1.0,55000
36,Male,Master's Degree,Full Stack Engineer,7.0,130000
48,Male,PhD,Senior Project Engineer,16.0,190000
33,Female,Master's Degree,Full Stack Engineer,5.0,120000
38,Female,Master's Degree,Back end Developer,10.0,155000
51,Male,PhD,Software Engineer Manager,16.0,190000
27,Female,Master's Degree,Full Stack Engineer,3.0,100000
37,Male,Master's Degree,Senior Software Engineer,9.0,150000
44,Female,Master's Degree,Senior Project Engineer,12.0,170000
27,Male,Bachelor's Degree,Front end Developer,3.0,80000
38,Male,Master's Degree,Senior Software Engineer,10.0,155000
53,Male,PhD,Software Engineer Manager,17.0,195000
49,Male,PhD,Software Engineer Manager,15.0,185000
27,Male,Bachelor's Degree,Front end Developer,2.0,70000
48,Male,PhD,Senior Project Engineer,16.0,190000
31,Male,Master's Degree,Full Stack Engineer,7.0,140000
25,Male,Bachelor's Degree,Front end Developer,1.0,55000
50,Male,PhD,Software Engineer Manager,16.0,190000
46,Male,PhD,Software Engineer Manager,14.0,180000
33,Male,Master's Degree,Full Stack Engineer,6.0,130000
42,Male,PhD,Senior Software Engineer,14.0,170000
41,Male,PhD,Senior Project Engineer,12.0,165000
43,Male,PhD,Senior Project Engineer,13.0,185000
32,Male,Master's Degree,Back end Developer,6.0,130000
24,Male,Bachelor's Degree,Front end Developer,1.0,60000
44,Female,Master's Degree,Senior Software Engineer,11.0,170000
36,Male,Master's Degree,Senior Software Engineer,7.0,140000
28,Female,Master's Degree,Full Stack Engineer,4.0,110000
28,Male,Bachelor's Degree,Front end Developer,2.0,70000
37,Male,Master's Degree,Senior Software Engineer,9.0,145000
53,Male,PhD,Software Engineer Manager,16.0,190000
53,Male,PhD,Software Engineer Manager,17.0,200000
27,Male,Bachelor's Degree,Front end Developer,3.0,80000
30,Male,Bachelor's Degree,Back end Developer,4.0,95000
27,Female,Master's Degree,Full Stack Engineer,3.0,100000
53,Male,PhD,Software Engineer Manager,17.0,195000
49,Male,PhD,Software Engineer Manager,15.0,185000
38,Male,Master's Degree,Senior Software Engineer,10.0,155000
53,Male,PhD,Software Engineer Manager,18.0,195000
31,Male,Master's Degree,Senior Project Engineer,6.0,125000
53,Male,PhD,Software Engineer Manager,17.0,195000
31,Male,Master's Degree,Senior Software Engineer,7.0,140000
42,Male,PhD,Senior Software Engineer,14.0,170000
44,Male,Master's Degree,Senior Project Engineer,11.0,170000
37,Male,Master's Degree,Senior Software Engineer,9.0,150000
24,Female,Bachelor's Degree,Back end Developer,1.0,60000
27,Male,Bachelor's Degree,Front end Developer,2.0,70000
42,Male,PhD,Senior Software Engineer,14.0,170000
24,Female,Bachelor's Degree,Front end Developer,1.0,55000
28,Female,Bachelor's Degree,Front end Developer,3.0,80000
43,Male,PhD,Senior Project Engineer,13.0,185000
31,Male,Master's Degree,Full Stack Engineer,7.0,140000
43,Male,PhD,Software Engineer Manager,13.0,180000
27,Female,Master's Degree,Back end Developer,2.0,70000
49,Male,PhD,Software Engineer Manager,15.0,185000
48,Male,PhD,Senior Project Engineer,16.0,190000
31,Male,Master's Degree,Senior Project Engineer,6.0,125000
40,Male,PhD,Senior Software Engineer,12.0,160000
36,Male,Master's Degree,Senior Software Engineer,8.0,140000
53,Male,PhD,Software Engineer Manager,17.0,195000
27,Male,Bachelor's Degree,Front end Developer,2.0,70000
28,Male,Bachelor's Degree,Front end Developer,2.0,70000
44,Male,Master's Degree,Senior Project Engineer,11.0,170000
43,Male,PhD,Senior Project Engineer,13.0,185000
53,Male,PhD,Software Engineer Manager,17.0,195000
32,Male,Master's Degree,Back end Developer,6.0,130000
38,Male,Master's Degree,Senior Software Engineer,10.0,155000
49,Male,PhD,Software Engineer Manager,15.0,185000
27,Male,Bachelor's Degree,Front end Developer,3.0,80000
53,Male,PhD,Software Engineer Manager,17.0,195000
31,Male,Master's Degree,Senior Project Engineer,7.0,135000
24,Male,Bachelor's Degree,Back end Developer,1.0,55000
48,Male,PhD,Senior Project Engineer,16.0,190000
27,Female,Master's Degree,Back end Developer,2.0,70000
43,Male,PhD,Senior Project Engineer,13.0,185000
44,Male,Master's Degree,Senior Project Engineer,11.0,170000
37,Male,Master's Degree,Senior Software Engineer,9.0,150000
53,Male,PhD,Software Engineer Manager,17.0,195000
28,Male,Bachelor's Degree,Front end Developer,2.0,70000
53,Male,PhD,Software Engineer Manager,17.0,195000
31,Male,Master's Degree,Senior Project Engineer,6.0,125000
49,Male,PhD,Software Engineer Manager,15.0,185000
27,Female,Master's Degree,Back end Developer,2.0,70000
38,Male,Master's Degree,Senior Software Engineer,10.0,155000
27,Male,Bachelor's Degree,Front end Developer,3.0,80000
43,Male,PhD,Senior Project Engineer,13.0,185000
48,Male,PhD,Senior Project Engineer,16.0,190000
44,Male,Master's Degree,Senior Project Engineer,11.0,170000
53,Male,PhD,Software Engineer Manager,17.0,195000
37,Male,Master's Degree,Senior Software Engineer,9.0,150000
28,Male,Bachelor's Degree,Front end Developer,2.0,70000
27,Female,Master's Degree,Back end Developer,2.0,70000
49,Male,PhD,Software Engineer Manager,15.0,185000
31,Male,Master's Degree,Senior Project Engineer,7.0,135000
27,Male,Bachelor's Degree,Front end Developer,3.0,80000
53,Male,PhD,Software Engineer Manager,17.0,195000
38,Male,Master's Degree,Senior Software Engineer,10.0,155000
44,Male,Master's Degree,Senior Project Engineer,11.0,170000
43,Male,PhD,Senior Project Engineer,13.0,185000
27,Male,Bachelor's Degree,Front end Developer,2.0,70000
48,Male,PhD,Senior Project Engineer,16.0,190000
31,Male,Master's Degree,Senior Project Engineer,6.0,125000
53,Male,PhD,Software Engineer Manager,17.0,195000
37,Male,Master's Degree,Senior Software Engineer,9.0,150000
28,Male,Bachelor's Degree,Front end Developer,2.0,70000
27,Female,Master's Degree,Back end Developer,2.0,70000
34,Male,Bachelor's Degree,Front end Developer,5.0,95000
43,Female,Master's Degree,Senior Software Engineer,12.0,170000
27,Male,Bachelor's Degree,Back end Developer,2.0,75000
53,Female,PhD,Software Engineer Manager,18.0,210000
32,Male,Master's Degree,Full Stack Engineer,7.0,135000
40,Male,PhD,Senior Software Engineer,12.0,160000
23,Male,Bachelor's Degree,Front end Developer,1.0,55000
46,Male,PhD,Senior Project Engineer,16.0,190000
41,Female,PhD,Senior Project Engineer,11.0,165000
28,Female,Bachelor's Degree,Front end Developer,3.0,80000
34,Male,Bachelor's Degree,Back end Developer,6.0,120000
49,Male,PhD,Software Engineer Manager,15.0,185000
43,Male,PhD,Senior Project Engineer,13.0,185000
53,Male,PhD,Software Engineer Manager,16.0,190000
36,Male,Master's Degree,Senior Software Engineer,8.0,140000
33,Male,Master's Degree,Full Stack Engineer,6.0,130000
27,Female,Master's Degree,Back end Developer,2.0,70000
44,Male,Master's Degree,Senior Project Engineer,11.0,170000
31,Male,Master's Degree,Senior Project Engineer,6.0,125000
38,Male,Master's Degree,Senior Software Engineer,10.0,155000
27,Male,Bachelor's Degree,Front end Developer,2.0,70000
53,Male,PhD,Software Engineer Manager,17.0,195000
31,Male,Master's Degree,Senior Software Engineer,7.0,140000
32,Male,Master's Degree,Back end Developer,6.0,130000
38,Female,Master's Degree,Back end Developer,10.0,155000
51,Male,PhD,Software Engineer Manager,16.0,190000
28,Male,Bachelor's Degree,Front end Developer,2.0,70000
27,Male,Bachelor's Degree,Front end Developer,3.0,80000
43,Male,PhD,Senior Project Engineer,13.0,185000
27,Female,Master's Degree,Full Stack Engineer,3.0,100000
49,Male,PhD,Software Engineer Manager,15.0,185000
48,Male,PhD,Senior Project Engineer,16.0,190000
31,Male,Master's Degree,Senior Project Engineer,7.0,135000
40,Female,PhD,Senior Software Engineer,12.0,160000
24,Male,Bachelor's Degree,Front end Developer,1.0,55000
27,Male,Bachelor's Degree,Front end Developer,3.0,80000
42,Male,PhD,Senior Software Engineer,14.0,170000
24,Female,Bachelor's Degree,Front end Developer,1.0,55000
28,Female,Bachelor's Degree,Front end Developer,3.0,80000
43,Male,PhD,Senior Project Engineer,13.0,185000
31,Male,Master's Degree,Full Stack Engineer,7.0,140000
43,Male,PhD,Software Engineer Manager,13.0,180000
27,Female,Master's Degree,Back end Developer,2.0,70000
49,Male,PhD,Software Engineer Manager,15.0,185000
48,Male,PhD,Senior Project Engineer,16.0,190000
31,Male,Master's Degree,Senior Project Engineer,6.0,125000
40,Male,PhD,Senior Software Engineer,12.0,160000
36,Male,Master's Degree,Senior Software Engineer,8.0,140000
53,Male,PhD,Software Engineer Manager,17.0,195000
27,Male,Bachelor's Degree,Front end Developer,2.0,70000
28,Male,Bachelor's Degree,Front end Developer,2.0,70000
44,Male,Master's Degree,Senior Project Engineer,11.0,170000
43,Male,PhD,Senior Project Engineer,13.0,185000
53,Male,PhD,Software Engineer Manager,17.0,195000
32,Male,Master's Degree,Back end Developer,6.0,130000
38,Male,Master's Degree,Senior Software Engineer,10.0,155000
49,Male,PhD,Software Engineer Manager,15.0,185000
27,Male,Bachelor's Degree,Front end Developer,3.0,80000
53,Male,PhD,Software Engineer Manager,17.0,195000
31,Male,Master's Degree,Senior Project Engineer,7.0,135000
24,Male,Bachelor's Degree,Back end Developer,1.0,55000
48,Male,PhD,Senior Project Engineer,16.0,190000
27,Female,Master's Degree,Back end Developer,2.0,70000
43,Male,PhD,Senior Project Engineer,13.0,185000
44,Male,Master's Degree,Senior Project Engineer,11.0,170000
37,Male,Master's Degree,Senior Software Engineer,9.0,150000
53,Male,PhD,Software Engineer Manager,17.0,195000
28,Male,Bachelor's Degree,Front end Developer,2.0,70000
53,Male,PhD,Software Engineer Manager,17.0,195000
31,Male,Master's Degree,Senior Project Engineer,6.0,125000
49,Male,PhD,Software Engineer Manager,15.0,185000
53,Male,PhD,Software Engineer Manager,17.0,195000
27,Male,Bachelor's Degree,Front end Developer,3.0,80000
42,Male,PhD,Senior Software Engineer,14.0,170000
38,Male,Master's Degree,Senior Software Engineer,10.0,155000
43,Male,PhD,Senior Project Engineer,13.0,185000
27,Male,Bachelor's Degree,Front end Developer,2.0,70000
31,Male,Master's Degree,Full Stack Engineer,7.0,140000
53,Male,PhD,Software Engineer Manager,17.0,195000
36,Male,Master's Degree,Senior Software Engineer,8.0,140000
27,Female,Master's Degree,Back end Developer,2.0,70000
49,Male,PhD,Software Engineer Manager,15.0,185000
48,Male,PhD,Senior Project Engineer,16.0,190000
31,Male,Master's Degree,Senior Project Engineer,7.0,135000
40,Female,PhD,Senior Software Engineer,12.0,160000
